DATE,GS20,,date,GS20,3mTbill,diff,tp
4/1/1953,3.08,,1/1/1994,6.39,2.98,3.41,0.002841667
5/1/1953,3.18,,2/1/1994,6.57,3.25,3.32,0.002766667
6/1/1953,3.21,,3/1/1994,7,3.5,3.5,0.002916667
7/1/1953,3.12,,4/1/1994,7.4,3.68,3.72,0.0031
8/1/1953,3.1,,5/1/1994,7.54,4.14,3.4,0.002833333
9/1/1953,3.07,,6/1/1994,7.51,4.14,3.37,0.002808333
10/1/1953,2.95,,7/1/1994,7.67,4.33,3.34,0.002783333
11/1/1953,2.95,,8/1/1994,7.62,4.48,3.14,0.002616667
12/1/1953,2.89,,9/1/1994,7.87,4.62,3.25,0.002708333
1/1/1954,2.8,,10/1/1994,8.08,4.95,3.13,0.002608333
2/1/1954,2.72,,11/1/1994,8.2,5.29,2.91,0.002425
3/1/1954,2.61,,12/1/1994,7.99,5.6,2.39,0.001991667
4/1/1954,2.6,,1/1/1995,7.97,5.71,2.26,0.001883333
5/1/1954,2.66,,2/1/1995,7.73,5.77,1.96,0.001633333
6/1/1954,2.64,,3/1/1995,7.57,5.73,1.84,0.001533333
7/1/1954,2.57,,4/1/1995,7.45,5.65,1.8,0.0015
8/1/1954,2.58,,5/1/1995,7.01,5.67,1.34,0.001116667
9/1/1954,2.6,,6/1/1995,6.59,5.47,1.12,0.000933333
10/1/1954,2.61,,7/1/1995,6.74,5.42,1.32,0.0011
11/1/1954,2.65,,8/1/1995,6.92,5.4,1.52,0.001266667
12/1/1954,2.67,,9/1/1995,6.65,5.28,1.37,0.001141667
1/1/1955,2.75,,10/1/1995,6.45,5.28,1.17,0.000975
2/1/1955,2.83,,11/1/1995,6.33,5.36,0.97,0.000808333
3/1/1955,2.84,,12/1/1995,6.12,5.14,0.98,0.000816667
4/1/1955,2.85,,1/1/1996,6.11,5,1.11,0.000925
5/1/1955,2.87,,2/1/1996,6.3,4.83,1.47,0.001225
6/1/1955,2.86,,3/1/1996,6.74,4.96,1.78,0.001483333
7/1/1955,2.94,,4/1/1996,6.98,4.95,2.03,0.001691667
8/1/1955,3.01,,5/1/1996,7.11,5.02,2.09,0.001741667
9/1/1955,3,,6/1/1996,7.22,5.09,2.13,0.001775
10/1/1955,2.93,,7/1/1996,7.14,5.15,1.99,0.001658333
11/1/1955,2.93,,8/1/1996,6.97,5.05,1.92,0.0016
12/1/1955,2.98,,9/1/1996,7.17,5.09,2.08,0.001733333
1/1/1956,2.94,,10/1/1996,6.9,4.99,1.91,0.001591667
2/1/1956,2.91,,11/1/1996,6.58,5.03,1.55,0.001291667
3/1/1956,2.99,,12/1/1996,6.65,4.91,1.74,0.00145
4/1/1956,3.14,,1/1/1997,6.91,5.03,1.88,0.001566667
5/1/1956,3.06,,2/1/1997,6.77,5.01,1.76,0.001466667
6/1/1956,3,,3/1/1997,7.05,5.14,1.91,0.001591667
7/1/1956,3.08,,4/1/1997,7.2,5.16,2.04,0.0017
8/1/1956,3.22,,5/1/1997,7.02,5.05,1.97,0.001641667
9/1/1956,3.28,,6/1/1997,6.84,4.93,1.91,0.001591667
10/1/1956,3.26,,7/1/1997,6.56,5.05,1.51,0.001258333
11/1/1956,3.37,,8/1/1997,6.65,5.14,1.51,0.001258333
12/1/1956,3.45,,9/1/1997,6.56,4.95,1.61,0.001341667
1/1/1957,3.41,,10/1/1997,6.38,4.97,1.41,0.001175
2/1/1957,3.3,,11/1/1997,6.2,5.14,1.06,0.000883333
3/1/1957,3.32,,12/1/1997,6.07,5.16,0.91,0.000758333
4/1/1957,3.4,,1/1/1998,5.88,5.04,0.84,0.0007
5/1/1957,3.49,,2/1/1998,5.96,5.09,0.87,0.000725
6/1/1957,3.65,,3/1/1998,6.01,5.03,0.98,0.000816667
7/1/1957,3.72,,4/1/1998,6,4.95,1.05,0.000875
8/1/1957,3.75,,5/1/1998,6.01,5,1.01,0.000841667
9/1/1957,3.73,,6/1/1998,5.8,4.98,0.82,0.000683333
10/1/1957,3.76,,7/1/1998,5.78,4.96,0.82,0.000683333
11/1/1957,3.61,,8/1/1998,5.66,4.9,0.76,0.000633333
12/1/1957,3.38,,9/1/1998,5.38,4.61,0.77,0.000641667
1/1/1958,3.27,,10/1/1998,5.3,3.96,1.34,0.001116667
2/1/1958,3.31,,11/1/1998,5.48,4.41,1.07,0.000891667
3/1/1958,3.29,,12/1/1998,5.36,4.39,0.97,0.000808333
4/1/1958,3.17,,1/1/1999,5.45,4.34,1.11,0.000925
5/1/1958,3.17,,2/1/1999,5.66,4.44,1.22,0.001016667
6/1/1958,3.23,,3/1/1999,5.87,4.44,1.43,0.001191667
7/1/1958,3.39,,4/1/1999,5.82,4.29,1.53,0.001275
8/1/1958,3.65,,5/1/1999,6.08,4.5,1.58,0.001316667
9/1/1958,3.8,,6/1/1999,6.36,4.57,1.79,0.001491667
10/1/1958,3.81,,7/1/1999,6.28,4.55,1.73,0.001441667
11/1/1958,3.76,,8/1/1999,6.43,4.72,1.71,0.001425
12/1/1958,3.86,,9/1/1999,6.5,4.68,1.82,0.001516667
1/1/1959,3.95,,10/1/1999,6.66,4.86,1.8,0.0015
2/1/1959,3.96,,11/1/1999,6.48,5.07,1.41,0.001175
3/1/1959,3.99,,12/1/1999,6.69,5.2,1.49,0.001241667
4/1/1959,4.06,,1/1/2000,6.86,5.32,1.54,0.001283333
5/1/1959,4.13,,2/1/2000,6.54,5.55,0.99,0.000825
6/1/1959,4.14,,3/1/2000,6.38,5.69,0.69,0.000575
7/1/1959,4.16,,4/1/2000,6.18,5.66,0.52,0.000433333
8/1/1959,4.15,,5/1/2000,6.55,5.79,0.76,0.000633333
9/1/1959,4.29,,6/1/2000,6.28,5.69,0.59,0.000491667
10/1/1959,4.19,,7/1/2000,6.2,5.96,0.24,0.0002
11/1/1959,4.2,,8/1/2000,6.02,6.09,-0.07,-5.83E-05
12/1/1959,4.33,,9/1/2000,6.09,6,0.09,7.50E-05
1/1/1960,4.42,,10/1/2000,6.04,6.11,-0.07,-5.83E-05
2/1/1960,4.28,,11/1/2000,5.98,6.17,-0.19,-0.000158333
3/1/1960,4.14,,12/1/2000,5.64,5.77,-0.13,-0.000108333
4/1/1960,4.23,,1/1/2001,5.65,5.15,0.5,0.000416667
5/1/1960,4.2,,2/1/2001,5.62,4.88,0.74,0.000616667
6/1/1960,4.04,,3/1/2001,5.49,4.42,1.07,0.000891667
7/1/1960,3.91,,4/1/2001,5.78,3.87,1.91,0.001591667
8/1/1960,3.84,,5/1/2001,5.92,3.62,2.3,0.001916667
9/1/1960,3.86,,6/1/2001,5.82,3.49,2.33,0.001941667
10/1/1960,3.92,,7/1/2001,5.75,3.51,2.24,0.001866667
11/1/1960,3.96,,8/1/2001,5.58,3.36,2.22,0.00185
12/1/1960,3.91,,9/1/2001,5.53,2.64,2.89,0.002408333
1/1/1961,3.9,,10/1/2001,5.34,2.16,3.18,0.00265
2/1/1961,3.84,,11/1/2001,5.33,1.87,3.46,0.002883333
3/1/1961,3.81,,12/1/2001,5.76,1.69,4.07,0.003391667
4/1/1961,3.81,,1/1/2002,5.69,1.65,4.04,0.003366667
5/1/1961,3.74,,2/1/2002,5.61,1.73,3.88,0.003233333
6/1/1961,3.89,,3/1/2002,5.93,1.79,4.14,0.00345
7/1/1961,3.93,,4/1/2002,5.85,1.72,4.13,0.003441667
8/1/1961,4.04,,5/1/2002,5.81,1.73,4.08,0.0034
9/1/1961,4.04,,6/1/2002,5.65,1.7,3.95,0.003291667
10/1/1961,4.01,,7/1/2002,5.51,1.68,3.83,0.003191667
11/1/1961,4,,8/1/2002,5.19,1.62,3.57,0.002975
12/1/1961,4.07,,9/1/2002,4.87,1.63,3.24,0.0027
1/1/1962,4.1,,10/1/2002,5,1.58,3.42,0.00285
2/1/1962,4.12,,11/1/2002,5.04,1.23,3.81,0.003175
3/1/1962,4.04,,12/1/2002,5.01,1.19,3.82,0.003183333
4/1/1962,3.93,,1/1/2003,5.02,1.17,3.85,0.003208333
5/1/1962,3.92,,2/1/2003,4.87,1.17,3.7,0.003083333
6/1/1962,3.96,,3/1/2003,4.82,1.13,3.69,0.003075
7/1/1962,4.05,,4/1/2003,4.91,1.13,3.78,0.00315
8/1/1962,4.01,,5/1/2003,4.52,1.07,3.45,0.002875
9/1/1962,4,,6/1/2003,4.34,0.92,3.42,0.00285
10/1/1962,3.94,,7/1/2003,4.92,0.9,4.02,0.00335
11/1/1962,3.93,,8/1/2003,5.39,0.95,4.44,0.0037
12/1/1962,3.92,,9/1/2003,5.21,0.94,4.27,0.003558333
1/1/1963,3.93,,10/1/2003,5.21,0.92,4.29,0.003575
2/1/1963,3.97,,11/1/2003,5.17,0.93,4.24,0.003533333
3/1/1963,3.98,,12/1/2003,5.11,0.9,4.21,0.003508333
4/1/1963,4.03,,1/1/2004,5.01,0.88,4.13,0.003441667
5/1/1963,4.02,,2/1/2004,4.94,0.93,4.01,0.003341667
6/1/1963,4.02,,3/1/2004,4.72,0.94,3.78,0.00315
7/1/1963,4.06,,4/1/2004,5.16,0.94,4.22,0.003516667
8/1/1963,4.03,,5/1/2004,5.46,1.02,4.44,0.0037
9/1/1963,4.09,,6/1/2004,5.45,1.27,4.18,0.003483333
10/1/1963,4.12,,7/1/2004,5.24,1.33,3.91,0.003258333
11/1/1963,4.16,,8/1/2004,5.07,1.48,3.59,0.002991667
12/1/1963,4.19,,9/1/2004,4.89,1.65,3.24,0.0027
1/1/1964,4.19,,10/1/2004,4.85,1.76,3.09,0.002575
2/1/1964,4.17,,11/1/2004,4.89,2.07,2.82,0.00235
3/1/1964,4.22,,12/1/2004,4.88,2.19,2.69,0.002241667
4/1/1964,4.24,,1/1/2005,4.77,2.33,2.44,0.002033333
5/1/1964,4.2,,2/1/2005,4.61,2.54,2.07,0.001725
6/1/1964,4.17,,3/1/2005,4.89,2.74,2.15,0.001791667
7/1/1964,4.16,,4/1/2005,4.75,2.78,1.97,0.001641667
8/1/1964,4.18,,5/1/2005,4.56,2.84,1.72,0.001433333
9/1/1964,4.2,,6/1/2005,4.35,2.97,1.38,0.00115
10/1/1964,4.2,,7/1/2005,4.48,3.22,1.26,0.00105
11/1/1964,4.17,,8/1/2005,4.53,3.44,1.09,0.000908333
12/1/1964,4.18,,9/1/2005,4.51,3.42,1.09,0.000908333
1/1/1965,4.19,,10/1/2005,4.74,3.71,1.03,0.000858333
2/1/1965,4.21,,11/1/2005,4.83,3.88,0.95,0.000791667
3/1/1965,4.2,,12/1/2005,4.73,3.89,0.84,0.0007
4/1/1965,4.2,,1/1/2006,4.65,4.24,0.41,0.000341667
5/1/1965,4.21,,2/1/2006,4.73,4.43,0.3,0.00025
6/1/1965,4.21,,3/1/2006,4.91,4.51,0.4,0.000333333
7/1/1965,4.21,,4/1/2006,5.22,4.6,0.62,0.000516667
8/1/1965,4.25,,5/1/2006,5.35,4.72,0.63,0.000525
9/1/1965,4.3,,6/1/2006,5.29,4.79,0.5,0.000416667
10/1/1965,4.32,,7/1/2006,5.25,4.95,0.3,0.00025
11/1/1965,4.4,,8/1/2006,5.08,4.96,0.12,0.0001
12/1/1965,4.5,,9/1/2006,4.93,4.81,0.12,0.0001
1/1/1966,4.52,,,,,,
2/1/1966,4.71,,,,,,
3/1/1966,4.72,,,,,,
4/1/1966,4.65,,,,,,
5/1/1966,4.69,,,,,,
6/1/1966,4.73,,,,,,
7/1/1966,4.84,,,,,,
8/1/1966,4.95,,,,,,
9/1/1966,4.94,,,,,,
10/1/1966,4.83,,,,,,
11/1/1966,4.87,,,,,,
12/1/1966,4.76,,,,,,
1/1/1967,4.51,,,,,,
2/1/1967,4.61,,,,,,
3/1/1967,4.56,,,,,,
4/1/1967,4.64,,,,,,
5/1/1967,4.9,,,,,,
6/1/1967,4.99,,,,,,
7/1/1967,5.01,,,,,,
8/1/1967,5.12,,,,,,
9/1/1967,5.16,,,,,,
10/1/1967,5.36,,,,,,
11/1/1967,5.66,,,,,,
12/1/1967,5.59,,,,,,
1/1/1968,5.39,,,,,,
2/1/1968,5.38,,,,,,
3/1/1968,5.59,,,,,,
4/1/1968,5.46,,,,,,
5/1/1968,5.55,,,,,,
6/1/1968,5.4,,,,,,
7/1/1968,5.29,,,,,,
8/1/1968,5.23,,,,,,
9/1/1968,5.28,,,,,,
10/1/1968,5.44,,,,,,
11/1/1968,5.56,,,,,,
12/1/1968,5.88,,,,,,
1/1/1969,5.99,,,,,,
2/1/1969,6.11,,,,,,
3/1/1969,6.22,,,,,,
4/1/1969,6.03,,,,,,
5/1/1969,6.11,,,,,,
6/1/1969,6.28,,,,,,
7/1/1969,6.27,,,,,,
8/1/1969,6.22,,,,,,
9/1/1969,6.55,,,,,,
10/1/1969,6.49,,,,,,
11/1/1969,6.74,,,,,,
12/1/1969,6.91,,,,,,
1/1/1970,6.92,,,,,,
2/1/1970,6.67,,,,,,
3/1/1970,6.72,,,,,,
4/1/1970,6.85,,,,,,
5/1/1970,7.24,,,,,,
6/1/1970,7.34,,,,,,
7/1/1970,6.92,,,,,,
8/1/1970,7.07,,,,,,
9/1/1970,6.88,,,,,,
10/1/1970,6.88,,,,,,
11/1/1970,6.58,,,,,,
12/1/1970,6.28,,,,,,
1/1/1971,6.18,,,,,,
2/1/1971,6.14,,,,,,
3/1/1971,5.94,,,,,,
4/1/1971,6,,,,,,
5/1/1971,6.32,,,,,,
6/1/1971,6.38,,,,,,
7/1/1971,6.38,,,,,,
8/1/1971,6.27,,,,,,
9/1/1971,6.05,,,,,,
10/1/1971,5.92,,,,,,
11/1/1971,5.86,,,,,,
12/1/1971,6,,,,,,
1/1/1972,6.01,,,,,,
2/1/1972,6.06,,,,,,
3/1/1972,6.06,,,,,,
4/1/1972,6.16,,,,,,
5/1/1972,6.07,,,,,,
6/1/1972,6.01,,,,,,
7/1/1972,6.01,,,,,,
8/1/1972,5.94,,,,,,
9/1/1972,6.05,,,,,,
10/1/1972,6,,,,,,
11/1/1972,5.79,,,,,,
12/1/1972,5.96,,,,,,
1/1/1973,6.78,,,,,,
2/1/1973,6.88,,,,,,
3/1/1973,6.91,,,,,,
4/1/1973,6.86,,,,,,
5/1/1973,6.99,,,,,,
6/1/1973,7.06,,,,,,
7/1/1973,7.29,,,,,,
8/1/1973,7.61,,,,,,
9/1/1973,7.25,,,,,,
